Account,date,daily_pnl,win_rate,trades_per_day,avg_trade_size,total_volume,long_ratio,sentiment,value,classification
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,67900.247545,0.5477031802120141,283,1684.2025795053005,476629.33,0.4416961130742049,Greed,74.0,Greed
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,19451.742477,0.8842105263157894,95,820.6771578947369,77964.33,0.0,Fear,44.0,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,20925.513222,0.5526315789473685,190,3387.3391578947367,643594.44,0.4421052631578947,Greed,74.0,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,8751.751449,0.2692307692307692,182,3072.9576923076925,559278.3,0.7307692307692307,Fear,44.0,Fear
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,55.01524,0.2222222222222222,9,1862.9299999999998,16766.37,0.7777777777777778,Greed,74.0,Greed
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,21703.816512999998,0.3238095238095238,525,8441.060742857142,4431556.89,0.5657142857142857,Fear,44.0,Fear
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,155.50335699999994,0.2751677852348993,1043,11034.799511025887,11509295.89,0.46883988494726747,Greed,69.0,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,2606.8947559999997,0.21879063719115735,3076,7639.724411573472,23499792.29,0.49187256176853056,Greed,84.0,Extreme Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,62586.1816,0.20998174071819842,1643,2875.2178940961658,4723983.0,0.6202069385270846,Greed,50.0,Neutral
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,1421755.845871,0.5670347003154574,1268,2166.171861198738,2746705.92,0.1167192429022082,Greed,74.0,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,553818.000465,0.3910569105691057,7380,1818.587241192412,13421173.84,0.4711382113821138,Fear,44.0,Fear
0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,22488.500821,0.4386109962794543,4838,22504.555828854896,108877041.1,0.48945845390657294,Fear,44.0,Fear
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,940157.212682,0.46753185464841907,21190,3210.7751864086836,68036326.2,0.5283152430391694,Fear,44.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,11671.68,0.15355805243445692,267,2725.7805992509366,727783.42,0.18352059925093633,Greed,74.0,Greed
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,325441.97721599997,0.3722297602894618,2211,8103.972912709181,17917884.11,0.4767073722297603,Fear,44.0,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,684215.002602,0.5692603460487706,9883,2693.2837964180917,26617723.76,0.3128604674693919,Greed,74.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,126967.976166,0.3848636073693295,26651,1554.8373344339798,41437969.8,0.4715770515177667,Fear,44.0,Fear
